# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
80 1.6854 0.597629 3.97
81 1.7066 1.03622 4.13
82 1.7278 0.758211 4.25
83 1.749 0.986589 4.41
84 1.7702 1.14368 4.6
85 1.7914 1.23433 4.81
86 1.8126 0.746338 4.94
87 1.8338 0.673091 5.06
88 1.855 0.986691 5.24
89 1.8762 1.12527 5.45
90 1.8974 0.733511 5.59
91 1.9186 0.871118 5.76
92 1.9398 1.20308 6
93 1.961 0.833855 6.17
94 1.9822 0.720101 6.32
95 2.0034 1.26889 6.59
96 2.0246 1.15043 6.84
97 2.0458 1.03657 7.07
98 2.067 0.706377 7.23
99 2.0882 0.64885 7.38
100 2.1094 1.05979 7.63
50900 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0 0
46 0.9646 0.405433 0.02
47 0.9858 0.194092 0.03
48 1.007 0.744023 0.07
49 1.0282 0.713659 0.11
50 1.0494 1.37023 0.19
51 1.0706 2.13932 0.32
52 1.0918 1.58235 0.42
53 1.113 2.1317 0.56
54 1.1342 1.90613 0.69
55 1.1554 1.13035 0.77
56 1.1766 1.77123 0.9
57 1.1978 1.97203 1.05
58 1.219 2.53871 1.25
59 1.2402 1.34896 1.36
60 1.2614 1.54109 1.49
61 1.2826 1.14659 1.59
62 1.3038 1.33153 1.71
63 1.325 1.07439 1.81
64 1.3462 1.56122 1.96
65 1.3674 1.00879 2.06
66 1.3886 0.978224 2.16
67 1.4098 0.759221 2.24
68 1.431 0.921115 2.34
